referenceId,referenceType,lifecycle,visibility,fileCount,fileAccess,title,citation,newestVersion
160034,Generic Document,Active,Public,1,Public,Best Management Practices for the Use of Bat Houses in the US and Canada,Holroyd S and Others. 2023. Best Management Practices for the Use of Bat Houses in the US and Canada,
66301,Published Report,Active,Public,2,Public,"U.S. Fish and Wildlife Service Annual Report of Lands As of September 30, 2015","U.S. Fish and Wildlife Service. 2016. U.S. Fish and Wildlife Service Annual Report of Lands As of September 30, 2015. U.S. Fish and Wildlife Service",
66572,Geospatial Dataset,Active,Public,3,Public,National Wildlife Refuge System Fishing and Hunting Opportunities,Easterbrook RB. 2016. National Wildlife Refuge System Fishing and Hunting Opportunities. U.S. Fish and Wildlife Service,
132473,Generic Dataset,Active,Public,189,Public,Malheur NWR: Continuous Air and Stream Temperature Data at Bridge Creek (Aquatic Health and Climate Change) - Raw and Processed Data,"Lohr S and Kilbride K. 2021. Malheur NWR: Continuous Air and Stream Temperature Data at Bridge Creek (Aquatic Health and Climate Change) - Raw and Processed Data. U.S. Fish and Wildlife Service. Portland, OR",
69426,Published Report,Active,Public,1,Public,FY 2016 Report Status of Hunting and Fishing on National Wildlife Refuge System Lands,U.S. Fish and Wildlife Service. 2016. FY 2016 Report Status of Hunting and Fishing on National Wildlife Refuge System Lands. U.S. Fish and Wildlife Service,
76084,Geospatial Dataset,Active,Public,11,Public,FWS Critical Habitat for Threatened and Endangered Species Dataset,Environmental Conservation Online System and U.S. Fish and Wildlife Service. 2019. FWS Critical Habitat for Threatened and Endangered Species Dataset,
66305,Published Report,Active,Public,1,Public,FY 2015 Report Status of Hunting and Fishing on National Wildlife Refuge System Lands,U.S. Fish and Wildlife Service. 2016. FY 2015 Report Status of Hunting and Fishing on National Wildlife Refuge System Lands. U.S. Fish and Wildlife Service,
61076,Unpublished Report,Active,Public,1,Public,Mammal trapping within the National Wildlife Refuge System 1992-1996,"U.S. Fish and Wildlife Service, National Wildlife Refuge System. Mammal trapping within the National Wildlife Refuge System 1992-1996. U.S. Fish and Wildlife Service. Arlington, Virginia",
66302,Published Report,Active,Public,1,Public,FY 2015 Annual Report Migratory Bird Conservation Commission,U.S. Fish and Wildlife Service. 2016. FY 2015 Annual Report Migratory Bird Conservation Commission. U.S. Fish and Wildlife Service,
81207,Generic Dataset,Active,Public,15,Public,"2016 Annual Data Files: Centennial Valley Arctic Grayling Adaptive Management Project, 2011-present","Warren JM and Others. 2016. 2016 Annual Data Files: Centennial Valley Arctic Grayling Adaptive Management Project, 2011-present",
